Lua Diagnostics | Errors: 0 | Warnings: 1051 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 39 | Total: 1090 | Time: 2026-06-06 00:33:29 | Dir: /workspace/scripts
---
WARN  | BatEnemy.lua:624:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:625:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | BatEnemy.lua:625:31 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | CastleEnemies.lua:168:8 | Unnecessary `if` statement: this condition is always truthy [unnecessary-if]
WARN  | CastleEnemies.lua:603:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:604:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:605:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:608:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:609:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:610:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:611:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:612:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:613:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:614:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:615:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:616:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:619:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:620:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:621:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:622:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:623:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:624:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:625:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:628:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:629:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:630:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:631:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:632:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:633:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:634:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:635:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:636:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:637:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:639:28 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:667:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:668:28 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:669:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:670:21 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:676:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:677:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:678:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:679:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:685:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:686:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:687:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:688:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:692:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:693:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:694:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:695:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | CastleEnemies.lua:695:31 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | CastleEnemies.lua:707:43 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:717:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:720:24 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:724:22 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:725:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:726:22 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:734:35 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:735:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:736:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:737:18 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:738:13 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:740:16 | expected `NVGContextWrapper` but found `nil`. [param-type-mismatch]
WARN  | CastleEnemies.lua:175:36 | Undefined field `idle`. [undefined-field]
WARN  | CastleEnemies.lua:175:54 | Undefined field `idle`. [undefined-field]
WARN  | CastleEnemies.lua:176:49 | Undefined field `idle`. [undefined-field]
WARN  | CastleEnemies.lua:569:64 | Undefined field `idle`. [undefined-field]
WARN  | CastleEnemies.lua:318:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Cursor.lua:137:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Enemy.lua:79:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Enemy.lua:470:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:471:23 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:472:26 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:473:21 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:497:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:498:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:499:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:502:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:503:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:504:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:505:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:506:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:507:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:508:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:509:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:510:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:513:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:514:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:515:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:516:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:517:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:518:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:519:25 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:522:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:523:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:524:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:525:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:526:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:527:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:528:30 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:529:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:530:32 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:531:27 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:533:28 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:548:34 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:549:31 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:550:34 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
WARN  | Enemy.lua:551:29 | expected `NVGContextWrapper` but found `never`. [param-type-mismatch]
